"identifier","setSpec","id","repository"
"oai:edshare.soton.ac.uk:82","6469766973696F6E733D756F732D706B:756F732D6B78","54955","16"
"oai:edshare.soton.ac.uk:82","74797065733D7265736F75726365","54956","16"
"oai:edshare.soton.ac.uk:83","6469766973696F6E733D756F732D706B:756F732D6B78","54957","16"
"oai:edshare.soton.ac.uk:83","74797065733D7265736F75726365","54958","16"
"oai:edshare.soton.ac.uk:85","6469766973696F6E733D756F732D706B:756F732D6B78","54959","16"
"oai:edshare.soton.ac.uk:85","74797065733D7265736F75726365","54960","16"
"oai:edshare.soton.ac.uk:93","6469766973696F6E733D756F732D706B:756F732D6B78","54961","16"
"oai:edshare.soton.ac.uk:93","74797065733D7265736F75726365","54962","16"
"oai:edshare.soton.ac.uk:94","6469766973696F6E733D756F732D706B:756F732D6B78","54963","16"
"oai:edshare.soton.ac.uk:94","74797065733D7265736F75726365","54964","16"
"oai:edshare.soton.ac.uk:97","6469766973696F6E733D756F732D706B:756F732D6B78","54965","16"
"oai:edshare.soton.ac.uk:97","74797065733D7265736F75726365","54966","16"
"oai:edshare.soton.ac.uk:98","6469766973696F6E733D756F732D706B:756F732D6B78","54967","16"
"oai:edshare.soton.ac.uk:98","74797065733D7265736F75726365","54968","16"
"oai:edshare.soton.ac.uk:99","6469766973696F6E733D756F732D706B:756F732D6B78","54969","16"
"oai:edshare.soton.ac.uk:99","74797065733D7265736F75726365","54970","16"
"oai:edshare.soton.ac.uk:100","6469766973696F6E733D756F732D706B:756F732D6B78","54971","16"
"oai:edshare.soton.ac.uk:100","74797065733D7265736F75726365","54972","16"
"oai:edshare.soton.ac.uk:101","6469766973696F6E733D756F732D706B:756F732D6B78","54973","16"
"oai:edshare.soton.ac.uk:101","74797065733D7265736F75726365","54974","16"
"oai:edshare.soton.ac.uk:103","6469766973696F6E733D756F732D706B:756F732D6B78","54975","16"
"oai:edshare.soton.ac.uk:103","74797065733D7265736F75726365","54976","16"
"oai:edshare.soton.ac.uk:111","6469766973696F6E733D756F732D706B:756F732D6B78","54977","16"
"oai:edshare.soton.ac.uk:111","74797065733D7265736F75726365","54978","16"
"oai:edshare.soton.ac.uk:113","6469766973696F6E733D756F732D706B:756F732D6B78","54979","16"
"oai:edshare.soton.ac.uk:113","74797065733D7265736F75726365","54980","16"
"oai:edshare.soton.ac.uk:114","6469766973696F6E733D756F732D706B:756F732D6B78","54981","16"
"oai:edshare.soton.ac.uk:114","74797065733D7265736F75726365","54982","16"
"oai:edshare.soton.ac.uk:115","6469766973696F6E733D756F732D706B:756F732D6B78","54983","16"
"oai:edshare.soton.ac.uk:115","74797065733D7265736F75726365","54984","16"
"oai:edshare.soton.ac.uk:124","6469766973696F6E733D756F732D706B:756F732D6B78","54985","16"
"oai:edshare.soton.ac.uk:124","74797065733D7265736F75726365","54986","16"
"oai:edshare.soton.ac.uk:125","6469766973696F6E733D756F732D706B:756F732D6B78","54987","16"
"oai:edshare.soton.ac.uk:125","74797065733D7265736F75726365","54988","16"
"oai:edshare.soton.ac.uk:126","6469766973696F6E733D756F732D706B:756F732D6B78","54989","16"
"oai:edshare.soton.ac.uk:126","74797065733D7265736F75726365","54990","16"
"oai:edshare.soton.ac.uk:167","6469766973696F6E733D756F732D706B:756F732D6A66","54991","16"
"oai:edshare.soton.ac.uk:167","74797065733D7265736F75726365","54992","16"
"oai:edshare.soton.ac.uk:170","6469766973696F6E733D756F732D706B:756F732D6A66","54993","16"
"oai:edshare.soton.ac.uk:170","74797065733D7265736F75726365","54994","16"
"oai:edshare.soton.ac.uk:177","6469766973696F6E733D756F732D706B:756F732D6A66","54995","16"
"oai:edshare.soton.ac.uk:177","74797065733D7265736F75726365","54996","16"
"oai:edshare.soton.ac.uk:218","6469766973696F6E733D756F732D706B:756F732D6B78","54997","16"
"oai:edshare.soton.ac.uk:218","74797065733D7265736F75726365","54998","16"
"oai:edshare.soton.ac.uk:219","6469766973696F6E733D756F732D706B:756F732D6B78","54999","16"
"oai:edshare.soton.ac.uk:219","74797065733D7265736F75726365","55000","16"
"oai:edshare.soton.ac.uk:220","6469766973696F6E733D756F732D706B:756F732D6B78","55001","16"
"oai:edshare.soton.ac.uk:220","74797065733D7265736F75726365","55002","16"
"oai:edshare.soton.ac.uk:224","6469766973696F6E733D756F732D706B:756F732D6772","55003","16"
"oai:edshare.soton.ac.uk:224","74797065733D7265736F75726365","55004","16"
"oai:edshare.soton.ac.uk:252","6469766973696F6E733D756F732D66616338:756F732D6A77","55005","16"
"oai:edshare.soton.ac.uk:252","74797065733D7265736F75726365","55006","16"
"oai:edshare.soton.ac.uk:272","6469766973696F6E733D756F732D66616338:756F732D6A77","55007","16"
"oai:edshare.soton.ac.uk:272","74797065733D7265736F75726365","55008","16"
"oai:edshare.soton.ac.uk:276","6469766973696F6E733D756F732D706B:756F732D6B78","55009","16"
"oai:edshare.soton.ac.uk:276","74797065733D7265736F75726365","55010","16"
"oai:edshare.soton.ac.uk:278","6469766973696F6E733D756F732D706B:756F732D6B78","55011","16"
"oai:edshare.soton.ac.uk:278","74797065733D7265736F75726365","55012","16"
"oai:edshare.soton.ac.uk:279","6469766973696F6E733D756F732D66616337:756F732D6670","55013","16"
"oai:edshare.soton.ac.uk:279","74797065733D7265736F75726365","55014","16"
"oai:edshare.soton.ac.uk:297","6469766973696F6E733D756F732D66616338:756F732D6A77","55015","16"
"oai:edshare.soton.ac.uk:297","74797065733D7265736F75726365","55016","16"
"oai:edshare.soton.ac.uk:305","74797065733D7265736F75726365","55017","16"
"oai:edshare.soton.ac.uk:306","6469766973696F6E733D756F732D66616337:756F732D6670","55018","16"
"oai:edshare.soton.ac.uk:306","74797065733D7265736F75726365","55019","16"
"oai:edshare.soton.ac.uk:311","6469766973696F6E733D756F732D706B:756F732D6B78","55020","16"
"oai:edshare.soton.ac.uk:311","74797065733D7265736F75726365","55021","16"
"oai:edshare.soton.ac.uk:312","6469766973696F6E733D756F732D706B:756F732D6B78","55022","16"
"oai:edshare.soton.ac.uk:312","74797065733D7265736F75726365","55023","16"
"oai:edshare.soton.ac.uk:313","6469766973696F6E733D756F732D706B:756F732D6B78","55024","16"
"oai:edshare.soton.ac.uk:313","74797065733D7265736F75726365","55025","16"
"oai:edshare.soton.ac.uk:314","6469766973696F6E733D756F732D706B:756F732D6B78","55026","16"
"oai:edshare.soton.ac.uk:314","74797065733D7265736F75726365","55027","16"
"oai:edshare.soton.ac.uk:315","6469766973696F6E733D756F732D706B:756F732D6B78","55028","16"
"oai:edshare.soton.ac.uk:315","74797065733D7265736F75726365","55029","16"
"oai:edshare.soton.ac.uk:316","6469766973696F6E733D756F732D706B:756F732D6B78","55030","16"
"oai:edshare.soton.ac.uk:316","74797065733D7265736F75726365","55031","16"
"oai:edshare.soton.ac.uk:317","6469766973696F6E733D756F732D706B:756F732D6B78","55032","16"
"oai:edshare.soton.ac.uk:317","74797065733D7265736F75726365","55033","16"
"oai:edshare.soton.ac.uk:318","74797065733D7265736F75726365","55034","16"
"oai:edshare.soton.ac.uk:330","6469766973696F6E733D756F732D706B:756F732D6A66","55035","16"
"oai:edshare.soton.ac.uk:330","74797065733D7265736F75726365","55036","16"
"oai:edshare.soton.ac.uk:335","6469766973696F6E733D756F732D706B:756F732D6B78","55037","16"
"oai:edshare.soton.ac.uk:335","74797065733D7265736F75726365","55038","16"
"oai:edshare.soton.ac.uk:337","6469766973696F6E733D756F732D706B:756F732D6B78","55039","16"
"oai:edshare.soton.ac.uk:337","74797065733D7265736F75726365","55040","16"
"oai:edshare.soton.ac.uk:338","6469766973696F6E733D756F732D706B:756F732D6B78","55041","16"
"oai:edshare.soton.ac.uk:338","74797065733D7265736F75726365","55042","16"
"oai:edshare.soton.ac.uk:339","6469766973696F6E733D756F732D706B:756F732D6B78","55043","16"
"oai:edshare.soton.ac.uk:339","74797065733D7265736F75726365","55044","16"
"oai:edshare.soton.ac.uk:340","6469766973696F6E733D756F732D706B:756F732D6B78","55045","16"
"oai:edshare.soton.ac.uk:340","74797065733D7265736F75726365","55046","16"
"oai:edshare.soton.ac.uk:342","6469766973696F6E733D756F732D706B:756F732D6A66","55047","16"
"oai:edshare.soton.ac.uk:342","74797065733D7265736F75726365","55048","16"
"oai:edshare.soton.ac.uk:343","6469766973696F6E733D756F732D706B:756F732D6B78","55049","16"
"oai:edshare.soton.ac.uk:343","74797065733D7265736F75726365","55050","16"
"oai:edshare.soton.ac.uk:344","6469766973696F6E733D756F732D706B:756F732D6B78","55051","16"
"oai:edshare.soton.ac.uk:344","74797065733D7265736F75726365","55052","16"
"oai:edshare.soton.ac.uk:345","6469766973696F6E733D756F732D706B:756F732D6B78","55053","16"
"oai:edshare.soton.ac.uk:345","74797065733D7265736F75726365","55054","16"
"oai:edshare.soton.ac.uk:347","6469766973696F6E733D756F732D706B:756F732D6B78","55055","16"
"oai:edshare.soton.ac.uk:347","74797065733D7265736F75726365","55056","16"
"oai:edshare.soton.ac.uk:348","6469766973696F6E733D756F732D706B:756F732D6B78","55057","16"
"oai:edshare.soton.ac.uk:348","74797065733D7265736F75726365","55058","16"
"oai:edshare.soton.ac.uk:349","6469766973696F6E733D756F732D706B:756F732D6B78","55059","16"
"oai:edshare.soton.ac.uk:349","74797065733D7265736F75726365","55060","16"
"oai:edshare.soton.ac.uk:350","6469766973696F6E733D756F732D706B:756F732D6B78","55061","16"
"oai:edshare.soton.ac.uk:350","74797065733D7265736F75726365","55062","16"
"oai:edshare.soton.ac.uk:351","6469766973696F6E733D756F732D706B:756F732D6B78","55063","16"
"oai:edshare.soton.ac.uk:351","74797065733D7265736F75726365","55064","16"
"oai:edshare.soton.ac.uk:352","6469766973696F6E733D756F732D706B:756F732D6B78","55065","16"
"oai:edshare.soton.ac.uk:352","74797065733D7265736F75726365","55066","16"
"oai:edshare.soton.ac.uk:353","6469766973696F6E733D756F732D706B:756F732D6B78","55067","16"
"oai:edshare.soton.ac.uk:353","74797065733D7265736F75726365","55068","16"
